V04001 V01000 V11042 V11212 V11041 V11043 V14032 V14033 V13012 V13052 V13011_000 V11002 V13011 V13007 V13003 V13004 V12012 V12011 V12212 V12211 V12201 V12001 V10202 V10201 V10004
1953 52842 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 
1954 52842 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 
1955 52842 32766 32766 32766 32766 -32766 32766 32766 120 32766 32766 -32766 303 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 
1956 52842 32766 32766 32766 32766 31783 72 -41 227 45 32766 1228 0 39 32 -285 267 -68 32766 -7 12 32766 32766 32766 
1957 52842 32766 32766 32766 32766 -32766 32766 16 217 61 29 2409 0 49 40 -256 256 -57 88 -8 11 32766 32766 6992 
1958 52842 32766 32766 32766 32766 30160 68 52 724 73 30 3170 302 47 43 -264 260 -51 97 -1 18 32766 32766 32766 
1959 52842 32766 32766 32766 32766 29762 67 25 280 67 30 2596 1 45 39 -290 273 -63 32766 -5 14 32766 32766 32766 
1960 52842 32766 32766 32766 32766 29533 66 -35 113 64 33 1362 0 43 38 -259 277 -59 103 -2 17 32766 32766 6992 
1961 52842 32766 32766 32766 32766 29444 66 -3 208 61 31 2027 0 32766 32766 -313 287 -67 98 -7 12 32766 32766 6989 
1962 52842 32766 32766 32766 32766 31244 70 -28 115 63 30 1507 301 41 35 -287 253 -67 98 -7 12 32766 32766 6993 
1963 52842 32766 32766 32766 32766 31590 71 9 272 56 29 2280 0 41 37 -284 255 -65 103 -5 14 32766 32766 6998 
1964 52842 32766 32766 32766 32766 30758 69 17 192 80 23 2433 0 46 40 -308 246 -62 98 -6 13 32766 32766 6988 
1965 52842 32766 32766 32766 32766 31651 71 5 30229 70 26 2181 0 41 36 -290 253 -63 99 -4 15 32766 32766 6995 
1966 52842 32766 32766 32766 32766 30708 69 -27 141 61 27 1516 301 40 38 -275 277 -57 102 0 19 32766 32766 6987 
1967 52842 32766 32766 32766 32766 29913 67 90 300 102 22 3959 303 50 43 -280 264 -59 83 -11 8 32766 32766 6986 
1968 52842 32766 32766 32766 32766 31702 71 -20 163 69 33 1660 304 43 37 -241 254 -57 96 -4 15 32766 32766 6987 
1969 52842 32766 32766 32766 32766 30588 69 -16 215 55 39 1740 303 40 36 -265 264 -54 104 3 22 32766 32766 6986 
1970 52842 200 13 32766 32766 30949 70 -17 159 58 37 1734 301 40 35 -290 263 -67 93 -10 9 32766 32766 6991 
1971 52842 220 13 32766 32766 30673 69 29 263 67 36 2688 302 43 39 -304 286 -51 98 2 21 32766 32766 6991 
